Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 128, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 786,560
  scalars                 : 8
  total                   : 4,980,872
Estimated FLOPs per token: 1.258368e+07
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010471 | lrm: 1.00 | dt: 1321ms | tok/sec: 774 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.998067 | lrm: 1.00 | dt: 322ms | tok/sec: 3,175 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.988274 | lrm: 1.00 | dt: 230ms | tok/sec: 4,447 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.960670 | lrm: 1.00 | dt: 305ms | tok/sec: 3,359 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.954554 | lrm: 1.00 | dt: 211ms | tok/sec: 4,855 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.930305 | lrm: 1.00 | dt: 213ms | tok/sec: 4,799 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.912469 | lrm: 1.00 | dt: 215ms | tok/sec: 4,764 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.880452 | lrm: 1.00 | dt: 220ms | tok/sec: 4,647 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.846820 | lrm: 1.00 | dt: 215ms | tok/sec: 4,763 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.783105 | lrm: 1.00 | dt: 252ms | tok/sec: 4,067 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.657984 | lrm: 1.00 | dt: 227ms | tok/sec: 4,519 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.555706 | lrm: 1.00 | dt: 215ms | tok/sec: 4,758 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 8.449858 | lrm: 1.00 | dt: 224ms | tok/sec: 4,563 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 8.379375 | lrm: 1.00 | dt: 242ms | tok/sec: 4,228 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00031 (1.5%) | loss: 7.511110 | lrm: 1.00 | dt: 213ms | tok/sec: 4,814 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00032 (1.6%) | loss: 7.473663 | lrm: 1.00 | dt: 212ms | tok/sec: 4,839 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00033 (1.7%) | loss: 7.446704 | lrm: 1.00 | dt: 215ms | tok/sec: 4,769 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00034 (1.7%) | loss: 7.439606 | lrm: 1.00 | dt: 221ms | tok/sec: 4,642 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00035 (1.8%) | loss: 7.401291 | lrm: 1.00 | dt: 285ms | tok/sec: 3,597 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00036 (1.9%) | loss: 7.379233 | lrm: 1.00 | dt: 215ms | tok/sec: 4,772 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00037 (2.0%) | loss: 7.359853 | lrm: 1.00 | dt: 209ms | tok/sec: 4,894 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00038 (2.0%) | loss: 7.326168 | lrm: 1.00 | dt: 241ms | tok/sec: 4,242 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00039 (2.1%) | loss: 7.251945 | lrm: 1.00 | dt: 206ms | tok/sec: 4,975 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00040 (2.2%) | loss: 7.191355 | lrm: 1.00 | dt: 217ms | tok/sec: 4,711 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00041 (2.3%) | loss: 7.163850 | lrm: 1.00 | dt: 214ms | tok/sec: 4,795 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00042 (2.3%) | loss: 7.152702 | lrm: 1.00 | dt: 254ms | tok/sec: 4,029 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00043 (2.4%) | loss: 7.151882 | lrm: 1.00 | dt: 214ms | tok/sec: 4,778 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00044 (2.5%) | loss: 7.175447 | lrm: 1.00 | dt: 216ms | tok/sec: 4,737 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00045 (2.6%) | loss: 7.151461 | lrm: 1.00 | dt: 227ms | tok/sec: 4,507 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00046 (2.6%) | loss: 7.134327 | lrm: 1.00 | dt: 219ms | tok/sec: 4,679 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00047 (2.7%) | loss: 7.135511 | lrm: 1.00 | dt: 216ms | tok/sec: 4,733 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00048 (2.8%) | loss: 7.129467 | lrm: 1.00 | dt: 215ms | tok/sec: 4,756 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00049 (2.9%) | loss: 7.080042 | lrm: 1.00 | dt: 219ms | tok/sec: 4,669 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00050 (2.9%) | loss: 7.041669 | lrm: 1.00 | dt: 248ms | tok/sec: 4,124 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00051 (3.0%) | loss: 7.048742 | lrm: 1.00 | dt: 219ms | tok/sec: 4,675 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00052 (3.1%) | loss: 7.051314 | lrm: 1.00 | dt: 236ms | tok/sec: 4,331 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00053 (3.2%) | loss: 7.050607 | lrm: 1.00 | dt: 234ms | tok/sec: 4,367 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00054 (3.2%) | loss: 6.993564 | lrm: 1.00 | dt: 245ms | tok/sec: 4,178 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00055 (3.3%) | loss: 6.969231 | lrm: 1.00 | dt: 252ms | tok/sec: 4,070 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00056 (3.4%) | loss: 6.999427 | lrm: 1.00 | dt: 242ms | tok/sec: 4,225 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00057 (3.5%) | loss: 7.015210 | lrm: 1.00 | dt: 229ms | tok/sec: 4,466 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00058 (3.6%) | loss: 7.023256 | lrm: 1.00 | dt: 249ms | tok/sec: 4,120 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00059 (3.6%) | loss: 7.046179 | lrm: 1.00 | dt: 266ms | tok/sec: 3,846 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00060 (3.7%) | loss: 7.038014 | lrm: 1.00 | dt: 253ms | tok/sec: 4,040 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00061 (3.8%) | loss: 7.010194 | lrm: 1.00 | dt: 305ms | tok/sec: 3,354 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00062 (3.9%) | loss: 7.013398 | lrm: 1.00 | dt: 234ms | tok/sec: 4,373 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00063 (4.0%) | loss: 6.980148 | lrm: 1.00 | dt: 227ms | tok/sec: 4,506 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00064 (4.1%) | loss: 6.915925 | lrm: 1.00 | dt: 224ms | tok/sec: 4,575 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00065 (4.1%) | loss: 6.910258 | lrm: 1.00 | dt: 211ms | tok/sec: 4,844 | mfu: 0.0% | epoch: 1 | remaining: 287s    
step 00066 (4.2%) | loss: 6.915447 | lrm: 1.00 | dt: 229ms | tok/sec: 4,465 | mfu: 0.0% | epoch: 1 | remaining: 287s    
step 00067 (4.3%) | loss: 6.863305 | lrm: 1.00 | dt: 215ms | tok/sec: 4,764 | mfu: 0.0% | epoch: 1 | remaining: 287s    
step 00068 (4.4%) | loss: 6.883210 | lrm: 1.00 | dt: 227ms | tok/sec: 4,501 | mfu: 0.0% | epoch: 1 | remaining: 287s    
step 00069 (4.4%) | loss: 6.891838 | lrm: 1.00 | dt: 212ms | tok/sec: 4,821 | mfu: 0.0% | epoch: 1 | remaining: 286s    
step 00070 (4.5%) | loss: 6.873903 | lrm: 1.00 | dt: 207ms | tok/sec: 4,936 | mfu: 0.0% | epoch: 1 | remaining: 286s    
step 00071 (4.6%) | loss: 6.933649 | lrm: 1.00 | dt: 225ms | tok/sec: 4,543 | mfu: 0.0% | epoch: 1 | remaining: 286s    
step 00072 (4.7%) | loss: 6.958620 | lrm: 1.00 | dt: 230ms | tok/sec: 4,446 | mfu: 0.0% | epoch: 1 | remaining: 286s    
step 00073 (4.7%) | loss: 6.912129 | lrm: 1.00 | dt: 215ms | tok/sec: 4,764 | mfu: 0.0% | epoch: 1 | remaining: 286s    
step 00074 (4.8%) | loss: 6.890078 | lrm: 1.00 | dt: 247ms | tok/sec: 4,152 | mfu: 0.0% | epoch: 1 | remaining: 285s    
step 00075 (4.9%) | loss: 6.882939 | lrm: 1.00 | dt: 212ms | tok/sec: 4,827 | mfu: 0.0% | epoch: 1 | remaining: 285s    
step 00076 (5.0%) | loss: 6.874305 | lrm: 1.00 | dt: 212ms | tok/sec: 4,832 | mfu: 0.0% | epoch: 1 | remaining: 285s    
step 00077 (5.0%) | loss: 6.920435 | lrm: 1.00 | dt: 212ms | tok/sec: 4,837 | mfu: 0.0% | epoch: 1 | remaining: 285s    
step 00078 (5.1%) | loss: 6.920569 | lrm: 1.00 | dt: 215ms | tok/sec: 4,753 | mfu: 0.0% | epoch: 1 | remaining: 284s    
step 00079 (5.2%) | loss: 6.915527 | lrm: 1.00 | dt: 216ms | tok/sec: 4,745 | mfu: 0.0% | epoch: 1 | remaining: 284s    
step 00080 (5.2%) | loss: 6.886350 | lrm: 1.00 | dt: 215ms | tok/sec: 4,762 | mfu: 0.0% | epoch: 1 | remaining: 284s    
step 00081 (5.3%) | loss: 6.882292 | lrm: 1.00 | dt: 212ms | tok/sec: 4,828 | mfu: 0.0% | epoch: 1 | remaining: 284s    
step 00082 (5.4%) | loss: 6.865819 | lrm: 1.00 | dt: 236ms | tok/sec: 4,334 | mfu: 0.0% | epoch: 1 | remaining: 284s    
step 00083 (5.5%) | loss: 6.855046 | lrm: 1.00 | dt: 211ms | tok/sec: 4,849 | mfu: 0.0% | epoch: 1 | remaining: 283s    
step 00084 (5.5%) | loss: 6.840648 | lrm: 1.00 | dt: 260ms | tok/sec: 3,941 | mfu: 0.0% | epoch: 1 | remaining: 283s    
step 00085 (5.6%) | loss: 6.840620 | lrm: 1.00 | dt: 203ms | tok/sec: 5,044 | mfu: 0.0% | epoch: 1 | remaining: 283s    
step 00086 (5.7%) | loss: 6.825670 | lrm: 1.00 | dt: 229ms | tok/sec: 4,479 | mfu: 0.0% | epoch: 1 | remaining: 283s    
step 00087 (5.8%) | loss: 6.826913 | lrm: 1.00 | dt: 201ms | tok/sec: 5,083 | mfu: 0.0% | epoch: 1 | remaining: 283s    
step 00088 (5.8%) | loss: 6.806440 | lrm: 1.00 | dt: 206ms | tok/sec: 4,960 | mfu: 0.0% | epoch: 1 | remaining: 282s    
step 00089 (5.9%) | loss: 6.812872 | lrm: 1.00 | dt: 237ms | tok/sec: 4,322 | mfu: 0.0% | epoch: 1 | remaining: 282s    
step 00090 (6.0%) | loss: 6.816934 | lrm: 1.00 | dt: 228ms | tok/sec: 4,489 | mfu: 0.0% | epoch: 1 | remaining: 282s    
step 00091 (6.1%) | loss: 6.823937 | lrm: 1.00 | dt: 220ms | tok/sec: 4,654 | mfu: 0.0% | epoch: 1 | remaining: 282s    
step 00092 (6.1%) | loss: 6.832279 | lrm: 1.00 | dt: 203ms | tok/sec: 5,042 | mfu: 0.0% | epoch: 1 | remaining: 281s    
step 00093 (6.2%) | loss: 6.819689 | lrm: 1.00 | dt: 226ms | tok/sec: 4,539 | mfu: 0.0% | epoch: 1 | remaining: 281s    
step 00094 (6.3%) | loss: 6.831958 | lrm: 1.00 | dt: 226ms | tok/sec: 4,536 | mfu: 0.0% | epoch: 1 | remaining: 281s    
step 00095 (6.3%) | loss: 6.793558 | lrm: 1.00 | dt: 209ms | tok/sec: 4,905 | mfu: 0.0% | epoch: 1 | remaining: 281s    
step 00096 (6.4%) | loss: 6.731651 | lrm: 1.00 | dt: 231ms | tok/sec: 4,427 | mfu: 0.0% | epoch: 1 | remaining: 281s    
step 00097 (6.5%) | loss: 6.771812 | lrm: 1.00 | dt: 202ms | tok/sec: 5,059 | mfu: 0.0% | epoch: 1 | remaining: 280s    
step 00098 (6.6%) | loss: 6.739823 | lrm: 1.00 | dt: 204ms | tok/sec: 5,030 | mfu: 0.0% | epoch: 1 | remaining: 280s    
step 00099 (6.6%) | loss: 6.703394 | lrm: 1.00 | dt: 207ms | tok/sec: 4,947 | mfu: 0.0% | epoch: 1 | remaining: 280s    
step 00100 (6.7%) | loss: 6.711622 | lrm: 1.00 | dt: 242ms | tok/sec: 4,231 | mfu: 0.0% | epoch: 1 | remaining: 280s    
step 00101 (6.8%) | loss: 6.860443 | lrm: 1.00 | dt: 209ms | tok/sec: 4,899 | mfu: 0.0% | epoch: 1 | remaining: 279s    
step 00102 (6.8%) | loss: 6.864158 | lrm: 1.00 | dt: 223ms | tok/sec: 4,586 | mfu: 0.0% | epoch: 1 | remaining: 279s    
step 00103 (6.9%) | loss: 6.819779 | lrm: 1.00 | dt: 221ms | tok/sec: 4,635 | mfu: 0.0% | epoch: 1 | remaining: 279s    
step 00104 (7.0%) | loss: 6.794075 | lrm: 1.00 | dt: 217ms | tok/sec: 4,721 | mfu: 0.0% | epoch: 1 | remaining: 279s    
step 00105 (7.1%) | loss: 6.783032 | lrm: 1.00 | dt: 212ms | tok/sec: 4,838 | mfu: 0.0% | epoch: 1 | remaining: 279s    
step 00106 (7.1%) | loss: 6.758392 | lrm: 1.00 | dt: 223ms | tok/sec: 4,599 | mfu: 0.0% | epoch: 1 | remaining: 278s    
step 00107 (7.2%) | loss: 6.738647 | lrm: 1.00 | dt: 212ms | tok/sec: 4,822 | mfu: 0.0% | epoch: 1 | remaining: 278s    
step 00108 (7.3%) | loss: 6.703579 | lrm: 1.00 | dt: 232ms | tok/sec: 4,411 | mfu: 0.0% | epoch: 1 | remaining: 278s    
step 00109 (7.4%) | loss: 6.690099 | lrm: 1.00 | dt: 239ms | tok/sec: 4,283 | mfu: 0.0% | epoch: 1 | remaining: 278s    
step 00110 (7.4%) | loss: 6.676307 | lrm: 1.00 | dt: 208ms | tok/sec: 4,918 | mfu: 0.0% | epoch: 1 | remaining: 277s    
step 00111 (7.5%) | loss: 6.678767 | lrm: 1.00 | dt: 214ms | tok/sec: 4,779 | mfu: 0.0% | epoch: 1 | remaining: 277s    
step 00112 (7.6%) | loss: 6.702782 | lrm: 1.00 | dt: 203ms | tok/sec: 5,056 | mfu: 0.0% | epoch: 1 | remaining: 277s    
step 00113 (7.6%) | loss: 6.733781 | lrm: 1.00 | dt: 218ms | tok/sec: 4,702 | mfu: 0.0% | epoch: 1 | remaining: 277s    
step 00114 (7.7%) | loss: 6.718688 | lrm: 1.00 | dt: 210ms | tok/sec: 4,885 | mfu: 0.0% | epoch: 1 | remaining: 277s    
step 00115 (7.8%) | loss: 6.694336 | lrm: 1.00 | dt: 227ms | tok/sec: 4,510 | mfu: 0.0% | epoch: 1 | remaining: 276s    
step 00116 (7.9%) | loss: 6.683223 | lrm: 1.00 | dt: 225ms | tok/sec: 4,545 | mfu: 0.0% | epoch: 1 | remaining: 276s    
step 00117 (7.9%) | loss: 6.697161 | lrm: 1.00 | dt: 215ms | tok/sec: 4,754 | mfu: 0.0% | epoch: 1 | remaining: 276s    
step 00118 (8.0%) | loss: 6.666994 | lrm: 1.00 | dt: 273ms | tok/sec: 3,747 | mfu: 0.0% | epoch: 1 | remaining: 276s    
step 00119 (8.1%) | loss: 6.699226 | lrm: 1.00 | dt: 259ms | tok/sec: 3,961 | mfu: 0.0% | epoch: 1 | remaining: 275s    
step 00120 (8.2%) | loss: 6.711195 | lrm: 1.00 | dt: 246ms | tok/sec: 4,155 | mfu: 0.0% | epoch: 1 | remaining: 275s    
step 00121 (8.3%) | loss: 6.708604 | lrm: 1.00 | dt: 229ms | tok/sec: 4,462 | mfu: 0.0% | epoch: 1 | remaining: 275s    
step 00122 (8.3%) | loss: 6.699588 | lrm: 1.00 | dt: 215ms | tok/sec: 4,764 | mfu: 0.0% | epoch: 1 | remaining: 275s    
step 00123 (8.4%) | loss: 6.699029 | lrm: 1.00 | dt: 202ms | tok/sec: 5,080 | mfu: 0.0% | epoch: 1 | remaining: 275s    
step 00124 (8.5%) | loss: 6.689193 | lrm: 1.00 | dt: 214ms | tok/sec: 4,783 | mfu: 0.0% | epoch: 1 | remaining: 274s    
step 00125 (8.6%) | loss: 6.620540 | lrm: 1.00 | dt: 228ms | tok/sec: 4,499 | mfu: 0.0% | epoch: 1 | remaining: 274s    
step 00126 (8.6%) | loss: 6.602382 | lrm: 1.00 | dt: 224ms | tok/sec: 4,580 | mfu: 0.0% | epoch: 1 | remaining: 274s    
step 00127 (8.7%) | loss: 6.584834 | lrm: 1.00 | dt: 232ms | tok/sec: 4,421 | mfu: 0.0% | epoch: 1 | remaining: 274s    
step 00128 (8.8%) | loss: 6.541877 | lrm: 1.00 | dt: 222ms | tok/sec: 4,622 | mfu: 0.0% | epoch: 1 | remaining: 273s    
step 00129 (8.9%) | loss: 6.526567 | lrm: 1.00 | dt: 234ms | tok/sec: 4,373 | mfu: 0.0% | epoch: 1 | remaining: 273s    
step 00130 (8.9%) | loss: 6.554065 | lrm: 1.00 | dt: 234ms | tok/sec: 4,375 | mfu: 0.0% | epoch: 1 | remaining: 273s    
step 00131 (9.0%) | loss: 6.574079 | lrm: 1.00 | dt: 230ms | tok/sec: 4,459 | mfu: 0.0% | epoch: 1 | remaining: 273s    
step 00132 (9.1%) | loss: 6.508831 | lrm: 1.00 | dt: 224ms | tok/sec: 4,566 | mfu: 0.0% | epoch: 1 | remaining: 272s    
step 00133 (9.2%) | loss: 6.528388 | lrm: 1.00 | dt: 230ms | tok/sec: 4,459 | mfu: 0.0% | epoch: 1 | remaining: 272s    
step 00134 (9.2%) | loss: 6.533930 | lrm: 1.00 | dt: 236ms | tok/sec: 4,348 | mfu: 0.0% | epoch: 1 | remaining: 272s    
step 00135 (9.3%) | loss: 6.530893 | lrm: 1.00 | dt: 224ms | tok/sec: 4,579 | mfu: 0.0% | epoch: 1 | remaining: 272s    
step 00136 (9.4%) | loss: 6.575264 | lrm: 1.00 | dt: 224ms | tok/sec: 4,561 | mfu: 0.0% | epoch: 1 | remaining: 272s    
step 00137 (9.5%) | loss: 6.584995 | lrm: 1.00 | dt: 228ms | tok/sec: 4,499 | mfu: 0.0% | epoch: 1 | remaining: 271s    
step 00138 (9.5%) | loss: 6.554306 | lrm: 1.00 | dt: 214ms | tok/sec: 4,789 | mfu: 0.0% | epoch: 1 | remaining: 271s    
step 00139 (9.6%) | loss: 6.546898 | lrm: 1.00 | dt: 212ms | tok/sec: 4,828 | mfu: 0.0% | epoch: 1 | remaining: 271s    
step 00140 (9.7%) | loss: 6.587196 | lrm: 1.00 | dt: 219ms | tok/sec: 4,673 | mfu: 0.0% | epoch: 1 | remaining: 271s    
step 00141 (9.8%) | loss: 6.555855 | lrm: 1.00 | dt: 219ms | tok/sec: 4,678 | mfu: 0.0% | epoch: 1 | remaining: 270s    
step 00142 (9.8%) | loss: 6.527523 | lrm: 1.00 | dt: 222ms | tok/sec: 4,613 | mfu: 0.0% | epoch: 1 | remaining: 270s    
step 00143 (9.9%) | loss: 6.499000 | lrm: 1.00 | dt: 256ms | tok/sec: 3,996 | mfu: 0.0% | epoch: 1 | remaining: 270s    
step 00144 (10.0%) | loss: 6.503770 | lrm: 1.00 | dt: 218ms | tok/sec: 4,694 | mfu: 0.0% | epoch: 1 | remaining: 270s    
step 00145 (10.1%) | loss: 6.465754 | lrm: 1.00 | dt: 258ms | tok/sec: 3,974 | mfu: 0.0% | epoch: 1 | remaining: 270s    
step 00146 (10.2%) | loss: 6.488943 | lrm: 1.00 | dt: 231ms | tok/sec: 4,437 | mfu: 0.0% | epoch: 1 | remaining: 269s    
step 00147 (10.2%) | loss: 6.486399 | lrm: 1.00 | dt: 222ms | tok/sec: 4,607 | mfu: 0.0% | epoch: 1 | remaining: 269s    
step 00148 (10.3%) | loss: 6.467944 | lrm: 1.00 | dt: 214ms | tok/sec: 4,794 | mfu: 0.0% | epoch: 1 | remaining: 269s    
step 00149 (10.4%) | loss: 6.458602 | lrm: 1.00 | dt: 232ms | tok/sec: 4,409 | mfu: 0.0% | epoch: 1 | remaining: 269s    
step 00150 (10.5%) | loss: 6.443154 | lrm: 1.00 | dt: 253ms | tok/sec: 4,049 | mfu: 0.0% | epoch: 1 | remaining: 268s    
step 00151 (10.5%) | loss: 6.446728 | lrm: 1.00 | dt: 210ms | tok/sec: 4,874 | mfu: 0.0% | epoch: 1 | remaining: 268s    
step 00152 (10.6%) | loss: 6.475728 | lrm: 1.00 | dt: 238ms | tok/sec: 4,304 | mfu: 0.0% | epoch: 1 | remaining: 268s    
step 00153 (10.7%) | loss: 6.473866 | lrm: 1.00 | dt: 214ms | tok/sec: 4,792 | mfu: 0.0% | epoch: 1 | remaining: 268s    
step 00154 (10.8%) | loss: 6.406433 | lrm: 1.00 | dt: 228ms | tok/sec: 4,492 | mfu: 0.0% | epoch: 1 | remaining: 267s    
step 00155 (10.8%) | loss: 6.402617 | lrm: 1.00 | dt: 223ms | tok/sec: 4,591 | mfu: 0.0% | epoch: 1 | remaining: 267s    
step 00156 (10.9%) | loss: 6.350339 | lrm: 1.00 | dt: 221ms | tok/sec: 4,628 | mfu: 0.0% | epoch: 1 | remaining: 267s    
